Standard_Work,Book,Chapter,Verse_Count
Old Testament,2 Chronicles,10,19
Old Testament,2 Chronicles,11,23
Old Testament,2 Chronicles,12,16
Old Testament,2 Chronicles,13,22
Old Testament,2 Chronicles,14,15
Old Testament,2 Chronicles,15,19
Old Testament,2 Chronicles,16,14
Old Testament,2 Chronicles,17,19
Old Testament,2 Chronicles,18,34
Old Testament,2 Chronicles,19,11
Old Testament,2 Chronicles,20,37
Old Testament,2 Chronicles,21,20
Old Testament,2 Chronicles,22,12
Old Testament,2 Chronicles,23,21
Old Testament,2 Chronicles,24,27
Old Testament,2 Chronicles,25,28
Old Testament,2 Chronicles,26,23
Old Testament,2 Chronicles,27,9
Old Testament,2 Chronicles,28,27
Old Testament,2 Chronicles,29,36
Old Testament,2 Chronicles,30,27
Old Testament,2 Chronicles,31,21
Old Testament,2 Chronicles,32,33
Old Testament,2 Chronicles,33,25
Old Testament,2 Chronicles,34,33
Old Testament,2 Chronicles,35,27
Old Testament,2 Chronicles,36,23
Old Testament,Ezra,1,11
Old Testament,Ezra,2,70
Old Testament,Ezra,3,13
Old Testament,Ezra,4,24
Old Testament,Ezra,5,17
Old Testament,Ezra,6,22
Old Testament,Ezra,7,28
Old Testament,Ezra,8,36
Old Testament,Ezra,9,15
Old Testament,Ezra,10,44
Old Testament,Nehemiah,1,11
Old Testament,Nehemiah,2,20
Old Testament,Nehemiah,3,32
Old Testament,Nehemiah,4,23
Old Testament,Nehemiah,5,19
Old Testament,Nehemiah,6,19
Old Testament,Nehemiah,7,73
Old Testament,Nehemiah,8,18
Old Testament,Nehemiah,9,38
Old Testament,Nehemiah,10,39
Old Testament,Nehemiah,11,36
Old Testament,Nehemiah,12,47
Old Testament,Nehemiah,13,31
Old Testament,Esther,1,22
Old Testament,Esther,2,23
Old Testament,Esther,3,15
Old Testament,Esther,4,17
Old Testament,Esther,5,14
Old Testament,Esther,6,14
Old Testament,Esther,7,10
Old Testament,Esther,8,17
Old Testament,Esther,9,32
Old Testament,Esther,10,3
Old Testament,Job,1,22
Old Testament,Job,2,13
Old Testament,Job,3,26
Old Testament,Job,4,21
Old Testament,Job,5,27
Old Testament,Job,6,30
Old Testament,Job,7,21
Old Testament,Job,8,22
Old Testament,Job,9,35
Old Testament,Job,10,22
Old Testament,Job,11,20
Old Testament,Job,12,25
Old Testament,Job,13,28
Old Testament,Job,14,22
Old Testament,Job,15,35
Old Testament,Job,16,22
Old Testament,Job,17,16
Old Testament,Job,18,21
Old Testament,Job,19,29
Old Testament,Job,20,29
Old Testament,Job,21,34
Old Testament,Job,22,30
Old Testament,Job,23,17
Old Testament,Job,24,25
Old Testament,Job,25,6
Old Testament,Job,26,14
Old Testament,Job,27,23
